code,name,identification,text
fri,"Frisian, Western",This is in the Frisian language.,"Elk hat rjocht op frijheid fan miening en mieningsutering. Dat rjocht hâldt de frijheid yn om sûnder ynminging in miening te hawwen en om troch alle middels en sûnder grinzen acht te slaan, ynljochtings en tinkbylden op te spoaren, te ûntfangen en troch te jaan."
fur,Friulian,Lingua: Friulano.,"Ogni individui al à derit a la libertât di impinion e di espression, dutun cul derit di no jessi lambicât par vie de sô idee e il derit di cirî, di vê e di propagandâ informazions e ideis cun ogni mieç e cence limitazions."
gle,"Gaelic, Irish",Irish (Gaeilge),"Tá ag gach uile dhuine an ceaqrt chun saoirse tuairime agus chun saoirse nochtuithe tuairime; áirítear sa cheart sin saoirse chun tuairimí a bheith aige gan aon bhac air, agus chun eolas agus smaointe a lorg, a ghlacadh agus a leathadh trí mheáin ar bith, gan aird ar chríoch-theoranta."
glg,Galician,Galician,"Todo individuo ten dereito á liberdade de opinión e de expresión; este dereito inclúe o de non ser molestado por mor das súas opinións, o de investigar e recibir informacións e opinións e o de difundilas, sen limitación de fronteiras, por calquera medio de expresión."
hat_kreyol,Haitian Creole French (Kreyol),Haitian Creole.,"Tout moun gen dwa a libète lide yo ak lapawol yo, kidonk dwa pou yo pa enkiete yo a koz lide yo ak dwa tou pou yo chèche, resevwa epi tou piblye, san konsiderasyon fwontiè, enfòmasyon ak lide pa nenpot ki mwayen ki ekziste pou yo piblye yo."
hau_3,Hausa,Hausa,"Kowanne mutum yana da ‘yancin bayyana ra’ayinsa; wannan ‘yanci kuwa ya hana a yi masa shisshigi kan wannan ra’ayi nasa, yana kuma da damar nema da karva da kuma fitar da duk wasu bayanai ta hanyar amfani da kafofin yaxa labarai ba tare da yin iyaka ba."
haw,Hawaiian,Hawaiian,"Ua noa i nā kānaka apau ke kū’oko’a o ka mana’o a me ka hō’ike ‘ana i ka mana’o; ‘a’ole ho’i e ho’opilikia ‘ia, a ua noa ho’i ka ‘imi, ka loa’a, a me ka ho’olaha ‘ana aku i ka ‘ike ma nā ‘ano apau, a i ‘ō aku ho’i o nā palena ‘āina apau."
heb,Hebrew,Hebrew,"כל אדם זכאי לחירות הדעה והבטוי, לרבות החירות להחיק בדעות ללא כל הפרעה, ולבקש ידיעות ודעות, ולקבלן ולמסרן בכל הדרכים וללא סייגי גבולות."
hin,Hindi,Hindi,"प्रत्येक व्यक्ति को विचार और उसकी अभिव्यक्ति की स्वतन्त्रता का अधिकार है । इसके अन्तर्गत बिना हस्तक्षेप के कोई राय रखना और किसी भी माध्यम के ज़रिए से तथा सीमाओं की परवाह न कर के किसी की मूचना और धारणा का अन्वेषण, प्रहण तथा प्रदान सम्मिलित है ।"
hrv,Croatian,Croatian.,"Svatko ima pravo na slobodu mišljenja i izražavanja; ovo pravo uključuje slobodu mišljenja, bez tuđeg miješanja, a isto tako i traženje, primanje i priopćavanje obavijesti i ideja bilo kojim sredstvima i bez obzira na granice."
hsb,"Sorbian, Upper",Sorbian (Upper or Lower Sorbian),"Kóždy ma prawo na swobodu měnjenja a wuprajenje měnjenja tute prawo wopłija njehaćenu swobodu měnjenja a swobodu, sej njedźiwajo na statne hranicy informacije a ideje ze srědkami kóždehožkuli razu wobstarać, płijimować a dale dawać."
hun,Hungarian,Hungarian,"Minden személynek joga van a vélemény és a kifejezés szabadságához, amely magában foglalja azt a jogot, hogy véleménye miatt ne szenvedjen zaklatást és hogy határokra való tekintet nélkül kutathasson, átvihessen és terjeszthessen híreket és eszméket bármilyen kifejezési módon."
hye,Armenian,Armenian.,"Ամեն ոք ունի համոզմունքներ ունենալու և արտահայտվելու իրավունք․ այս իրավունքը ներառնում է համոզմունքներին անարգել հավատարիմ մնալու և տեղեկություններ ու գաղափարներ որոնելու, ստանալու ու տարածելու ազատություն, լրատվության ցանկացած  միջոցներով, անկախ պետական սահմաններից։"
ibo,Igbo,Igbo,"Onye ọ bụla nwere ohere uche aka ya na nkwupụta uche ya: ikike a gbakwunyere ohere ịkwụdo n'echiche n'enweghi nnyonye anya na nke ịchọ, ịnata na ịgbasa ozi na echiche site n'ụzọ ọ bụla n'agbanyeghi oke ala."
ina,Interlingua,Occitan,"Tote persona ha le derecto al libertate de opinion e de expression, lo que implica le derecto de non esser molestate a causa de su opinion, le derecto de investigar e reciper informationes e opiniones, e le derecto de diffunder los, sin limitation de frontieras, per qualcunque medio de expression."
ind,Indonesian,Indonesian,"Setiap orang berhak atas kebebasan mempunyai dan mengeluarkan pendapat; dalam hak ini termasuk kebebasan memiliki pendapat tanpa gangguan, dan untuk mencari, menerima dan menyampaikan informasi dan buah pikiran melalui media apa saja dan dengan tidak memandang batas-batas (wilayah)."
isl,Icelandic,Icelandic.,"Hver maður skal frjáls skoðana sinna og að því að láta þær í ljós. Felur slíkt frjálsræði í sér réttindi til þess að leita, taka við og dreifa vitneskju og hugmyndum með hverjum hætti sem vera skal og án tillits til landamæra."
ita,Italian,Italian,"Ogni individuo ha diritto alla libertà di opinione e di espressione incluso il diritto di non essere molestato per la propria opinione e quello di cercare, ricevere e diffondere informazioni e idee attraverso ogni mezzo e senza riguardo a frontiere."
jav,Javanese (Latin),Javanese,"Saben uwong darbe hak ingatase hak bebas mratelakake panemume, kalebu duwe hak bebas darbe panemu tanpo diregoni/diganggu, lan kanggo ngupaya, nampa sarta mratelakake informasi lan pamikiran penemune lumantar media apa wae kanthi tanpa mawas watesing wewengkon laladan."
jpn,Japanese,Japanese,すべて人は、意見及び表現の自由を享有する権利を有する。この権利は、干渉を受けることなく自己の意見をもつ自由並びにあらゆる手段により、また、国境を越えると否とにかかわりなく、情報及び思想を求め、受け、及び伝える自由を含む。
kat,Georgian,Georgian,"ყოველ ადამიანს აქვს უფლება აზრისა და გამოხატვის თავისუფლებისა. ეს უფლება მოიცავს ადამიანის თავისუფლებას დაუბრკოლებლად გამოთქვას საკუთარი აზრი და ყველანაირი საშუალებებით მოიძიოს, მიიღოს და გაავრცელოს ინფორმაცია და მოსაზრებები სახელმწიფო საზღვრებისაგან დამოუკიდებლად."
kaz,Kazakh,Kazakh,"Әр адам наным‐сенім бостандығына және өз көзқарасын еркін білдіруіне құқығы бар; бұл құқық өз наным‐сенімін кедергісіз ұстану еркіндігін және мемлекеттік шекаралар тәртібіне тәуелді болып қалмай, ақпараттар мен идеяларды еркін іздеп, кез‐келген құралдар арқылы тарату бостандығын да қамтыйды."
kbd,Kabardian,This appears to be the Ingush language.,"Дэтхэнэ зы цӏыхум хуитыныгъэ иІэщ зэрыхуейуэ гупсысэну, и гупсысэхэр къиІуэтэну. Мы хуитыныгъэм хэтщ цІыхур и гупсысэхэм къыхэкІкІэ зыми къимыгъэгумэщІыну, къэралыгъуэ гъунапкъэхэм емылъытауэ щІэныгъэхэр, гупсысэхэр сыт хуэдэрей гъуэгукІи къэхутэн-къэпщытэн, зыІэрыгъэхьэн хуитыныгъэри."
khk,"Mongolian, Halh (Cyrillic)",Mongolian,"Хүн бүр өөрийн зэл бодолтой байж, түүнийгээ чөлөөтэй илэрхийлэх эрхтэй, үүнд үзэл бодлоо ямар ч хориг цээргүй баримтлах, аливаа үзэл санаа, мэдээллийг улсын хилийн заагаар үл хязгаарлан боломжтой арга замаар эрж сурвалжлах, олж ашиглах, түгээн дэлгэрүүлэх эрх багтана."
kir,Kirghiz,Kyrgyz,"Ар бир адам ынанымда болуу эркиндигине жана аны эркин билдирүү укугуна ээ; бул укук өз ынанымында тоскоолсуз бекем турууну жана мамлекеттик чек араларга карабастан маалыматты жана идеяларды кандай гана болбосун каражаттар менен издөө, кабыл алуу жана таратуу эркиндигин камтыйт."
kjh,Khakas,Kazakh,"Полған на кізінің пар тјре пос оңдайлығ киртініске паза пос оларды чоохтирға; пу тјренің санда пар свобода тудых чох позының киртініс тудынарға паза пос  оңдайлығ тілирге,  аларға паза тарадарға информацияны паза идеяларды хайдығ да  кирек нимелердің хазна границелерге даа кјрбин."
kmr,"Kurdish, Northern",Kurdish (Sorani dialect),"Herkes mafê azadiya fikr û îfade heye; mafê ji ber ramanên xwe nehatin êşandin û herweha mafê bêî nasîna tu sînoran û bi her cure navgînan li agahdariyan û fikran gerîn, wan bi dest xistin û îfade û belavkirin dikevin nav vî mafî."
kor,Korean,Korean (한국어),"모든 사람은 의견의 자유와 표현의 자유에 대한 권리를 가진다. 이러한 권리는 간섭없이 의견을 가질 자유와 국경에 관계없이 어떠한 매체를 통해서도 정보와 사상을 추구하고, 얻으며, 전달하는 자유를 포함한다."
lad,Ladino,The text is written in Spanish.,"Kada uno i uno tiene derecho de libertad de opinion i de ekspresion. Este derecho inkluye el de no estar molestado a kavza de sus opiniones, i bushkar, resivir, i difundir informasion i ideas, por kualker medio de komunikasion, sin limitasion de frontieras."
lat,Latin,Latin,"Suae quisque ipsius libertatis potestatem habet, et opinandi et loquendi, de sua sententia nulla molestia affectus, atque nuntios et opiniones indagandi accipiendi divulgandi omnibus modis et nullis impedimentis."
lav,Latvian,Latvian,"Ikvienam ir tiesības uz pārliecības un izteiksmes brīvību; šīs tiesības ietver brīvību bez iejaukšanās palikt pie saviem uzskatiem un meklēt, saņemt un izplatīt informāciju un idejas ar jebkuriem informācijas līdzekļiem neatkarīgi no valstu robežām."
lin,Lingala,Lingala,"Moto nyonso azali na likoki ya bokanisi pe bolobi; yango ekopesa ye ndingisa ya kozala na bomo na motema te likolo ya makanisi na ye ndingisa ya koluka, kozwa pe kopanza mayebisi na makanisi esika na esika, na ndenge alingi koyebisa yango."
lit,Lithuanian,Lithuanian,"Kiekvienas žmogus turi teisę į įsitikinimų ir jų reiškimo laisvę, kuri apima teisę nekliudomai laikytis savo įsitikinimų ir teisę ieškoti, gauti ir skleisti informaciją ir idėjas nepriklausomai nuo valstybių sienų, ir nesvarbu, kokiomis priemonėmis jos būtų išreikštos."
ltz,Luxembourgeois,Luxembourgish,"All Mënsch huet d'Recht op eng fräi Menong a fir se fräi auszedrécken, an deem och d'Recht mat dran as op eng Menong fräi vu Fuurcht an dat Recht fir Informatiounen an Iddiën ze sichen, ze kréien an ze verbrede mat all dene Mëttele fir sech auszedrécken, déi et gët an ouni sech mussen u Grenze vu Länner ze halen."
mar,Marathi,Marathi,"प्रत्येकास मतस्वातंत्र्य व भाषणस्वातंत्र्य असण्याचा अधिकार आहे. या अधिकारात कोणतीही ढवळाढवळ न होता मत बाळगण्याच्या स्वातंत्र्याचा. तसेच कोणत्याही माध्यमातून व सीमांचा विचार न करता माहिती व विचार ग्रहण करण्याचा प्रयत्न करणे, ती मिळविणे व इतरांना ती देणे यासंबंधीच्या स्वातंत्र्याचा समावेश होतो."
mkd,Macedonian,Macedonian,"Секој има право на слобода на мислење и изразување. Ова право ја вклучува и слободата да се застапува одредено мислење без никакво вмешување и да се бараат, да се примаат и да се даваат информации и идеи преку медиумите и без оглед на границите."
mxv,"Mixtec, Metlatónoc","This text seems to be in the Wayuu language, which is spoken mainly in northern Colombia and","Taka tu'u ma ñayi, iyo ja ku kundutu'tu-i te kundatnu-i, te kuka'a-i iín iín naxi ja-ini-i. Suka iyo ja ñatu na kasi yu'u ñayi ka'am, ku saja-i tnu'u, naxi kuini ma-i."
nav,Navajo,Navajo,"Tʼáá ájíłtsoh tʼáadooleʼé baa ntsíjíkeesgo bee hazdoodzihgo bee háhazʼą́. Díí baa ntsíjíkeesígíí éí héídah doo hániʼ iidoolííłda. Áádóó bikah nazhnitáago dóó nízhdiiláago bee hadeesdzih jinizingo béésh halneʼé, naalkidídah doodaiiʼ naaltsoos biyiʼjį́ʼ bee hazdoodzihgo bee háhazʼą́."
nds,"Saxon, Low",Low German (Plattdeutsch),"Elk un een hett dat Recht up frie Menen un daarup, sien Menen frie to seggen. Daarto hört de Frieheit, sien Menen ahn Inschränken künnig to maken, ok hört daarto, över  dräger vun elkeen Aart över all Scheden hen Informatschonen un Gedankengoot to söken, to bekamen un wiedertogeven."
nhn,"Nahuatl, Central",Nahuatl.,"Amo akaj uelis techkamatsakuas, para amo tlen ma tikijtokaj, nochi tojuantij tijpiaj manoj tikonijtosej nojkia se tlajtoli ipan tochaj o ipan se nechikolistli, tekiuaj axuelis techtlatsakuiltis pampa tikonijtojkej se tlajtoli tlen sekinokej amo kikualitaj. Uan axonkaj manoj nopeka se akajya ma techijlamiktiaj o techistlakatitiaj ika sekinokej tlen tlajtoli tikonijtojkej. Yeka moneki ma ika kuali tikonijtokaj nopa tlajtoli, para ijkinoj amo timokualankateemosej."
nld,Dutch,Dutch.,"Een ieder heeft recht op vrijheid van mening en meningsuiting. Dit recht omvat de vrijheid om zonder inmenging een mening te koesteren en om door alle middelen en ongeacht grenzen inlichtingen en denkbeelden op te sporen, te ontvangen en door te geven."
nno,"Norwegian, Nynorsk",Norwegian.,"Alle skal ha meinings- og ytringsfridom. Denne retten gjeld fridom til å ha meiningar utan innblanding, til å søkje, ta imot og gjere kjent opplysningar og idear gjennom alle dei informasjonskanalar som finst, og på tvers av alle grenser."
nob,"Norwegian, Bokmål",Norwegian Bokmål.,"Enhver har rett til menings- og ytringsfrihet. Denne rett omfatter frihet til å hevde meninger uten innblanding og til å søke, motta og meddele opplysninger og ideer gjennom ethvert meddelelsesmiddel og uten hensyn til landegrenser."
pan,"Panjabi, Eastern",Punjabi,"ਹਰੇਕ ਵਿਅਕਤੀ ਨੂੰ ਆਪਣੀ ਰਾਏ ਰੱਖਣ ਅਤੇ ਪ੍ਰਗਟ ਕਰਨ ਦਾ ਹੱਕ ਹਾਸਲ ਹੈ । ਇਸ ਹੱਕ ਵਿਚ ਬਗੈਰ ਕਿਸੇ ਦਜ਼ਲ ਅੰਦਾਜ਼ੀ ਤੋਂ ਆਪਣੀ ਰਾਏ ਰੱਖਣ ਦੀ ਆਜ਼ਾਦੀ ਸ਼ਾਮਲ ਹੈ ਅਤੇ ਦੇਸ਼ ਕਾਲ ਦੀਆਂ ਹੱਦਾਂ ਤੋਂ ਮੁਕਤ ਹੋ ਕੇ ਕਿਸੇ ਵੀ ਮਾਧਿਅਮ ਰਾਹੀਂ ਜਾਣਕਾਰੀ ਤੇ ਵਿਚਾਰ ਮੰਗਣ, ਲੈਣ ਤੇ ਜਾਣਕਾਰੀ ਦੇਣ ਦਾ ਹੱਕ ਇਸ ਅਧਿਕਾਰ ਵਿਚ ਸ਼ਾਮਲ ਹੈ ।"
pap,Papiamentu,Papiamento,"Tur persona tin derecho riba libertad di opinion y di expresion; e derecho aki ta inclui e libertad di tin opinion sin interferencia y di busca, haya y suministra informacion y idea via cualke medio y sin limitacion di frontera."
pcm,"Pidgin, Nigerian",This text appears to be written in Nigerian Pidgin English.,"Everione naim get right to tink or talk wetin e like about any mata. Naim be say wen di person tink about wetin e like, nobodi get right to say make e no tink like dat. Even sef di person get right to look for or get any information wey e like from any where."
pes_1,"Farsi, Western",Persian (Farsi),هر کس حق آزادی عقیده و بیان دارد و حق مزبور شامل آنست که از داشتن عقاید خود بیم و اضطرابی نداشته باشد و در کسب اطلاعات و افکار و در اخذ و انتشار آن بتمام وسائل ممکن و بدون ملاحظات مرزی آزاد باشد.
pol,Polish,Polish,"Każdy człowiek ma prawo wolności opinii i wyrażania jej; prawo to obejmuje swobodę posiadania niezależnej opinii, poszukiwania, otrzymywania i rozpowszechniania informacji i poglądów wszelkimi środkami, bez względu na granice."
por_BR,Portuguese (Brazil),Portuguese.,"Todo ser humano tem direito à liberdade de opinião e expressão; este direito inclui a liberdade de, sem interferência, ter opiniões e de procurar, receber e transmitir informações e idéias por quaisquer meios e independentemente de fronteiras."
por_PT,Portuguese (Portugal),Portuguese.,"Todo o indivíduo tem direito à liberdade de opinião e de expressão, o que implica o direito de não ser inquietado pelas suas opiniões e o de procurar, receber e difundir, sem consideração de fronteiras, informações e ideias por qualquer meio de expressão."
quc,"K'iche', Central","This appears to be in the K'iche' language, which is a Mayan language spoken","Ronojel winaq ya'tal chech kub'ij, kuq'alajisaj jasa je k'o pa ri uchomanik, ronojel jasa je ri kuto, karilo; xuq man ya'tal ta k'ut chi ketzelax rumal ri uchomanik kuya'o; ya'tal xuq chech kusol uxe', kareta'maj jachke ri karaj jeri' kub'an chech, la je k'ut pine ta ne k'ate' ri are taq wa' kuya chi na ub'ixik, uq'alajisaxik xa ta apawije' karaj kub'an wi."
rmy,Aromanian,The language appears to be Romanian.,"Cafi un ari-ndreptu lalibertatea sh-mindueascâ shi s-exprimâ, tsi luacatsâ shi-ndreptul s-nu hibâ cârtit ti minduearea-lji, ma shi-ndriptatea câ s-caftâ, s-aproachi shi s-tindâ informatsii shi idei cu cari tsi s-hibâ instrumenti shi independent di sinurli."
roh,Romansch,Lingua: Ladin,Mincha uman ha il dret a la libertà d'opiniun e d'expressiun: quista libertà cumpiglia il dret dad aderir libramaing ad opiniuns da tscherchar e dad artschaiver e derasar infuormaziuns ed ideas per qualunque mez d'informaziun pussibel sainza resguards da cunfins.
ron_2006,Romanian (2006),Romanian,"Orice om are dreptul la libertatea opiniilor și exprimării; acest drept include libertatea de a avea opinii fără imixtiune din afară, precum și libertatea de a căuta, de a primi și de a răspândi informații și idei prin orice mijloace și independent de frontierele de stat."
run,Rundi,This is Rwandan Kinyarwanda.,"Umuntu wese arashobora guserura ivyiyumviro vyiwe, n'ukuvuga ko adashobora kugira umutima uhagaze kuvyerekeye ivyiyumviro vyiwe, ko ashobora kurondera, kuronka n'ukumenyesha amakuru n'ivyiyumviro mu mihingo yose, mu buryo ubwo ari bwo bwose."
rus,Russian,Russian,"Каждый человек имеет право на свободу убеждений и на свободное выражение их; это право включает свободу беспрепятственно придерживаться своих убеждений и свободу искать, получать и распространять информацию и идеи любыми средствами и независимо от государственных границ."
sah,Yakut,"The text appears to be in the Sakha (Yakut) language, which is predominantly","Хас биирдии киһи бэйэтэ итэҕэбил санаалаах буолар, уонна ол итэҕэбил санаатын этэр бырааптаах: бу быраап иһинэн киһи бэйэтин итэҕэбил санаатын мэһэйэ суохтук тутуһар уонна государство границатыттан тутулуга суох ханнык баҕарар ньыманнан информацияны көрдуур, ылар уонна тарҕатар бырааптаах."
sco,Scots,Scots,"Awbody hes the richt tae freedom o opinioun and expression; this richt includes freedom tae haud opiniouns wi nae intermeddling and tae seek, come by and gie oot wittings and conceits throu ony media and tentless o frontiers."
slk,Slovak,Slovak,"Každý má právo na slobodu presvedčenia a prejavu: toto právo nepripúšťa, aby niekto trpel ujmu pre svoje presvedčenie a zahrňuje právo vyhľadávať, prijímať a rozširovať informácie a myšlienky hociakými prostriedkami a bez ohľadu na hranice."
slv,Slovenian,Slovenian.,"Vsakdo ima pravico do svobode mišljenja in izražanja, vštevši pravico, da nihče ne sme biti nadlegovan zaradi svojega mišljenja, in pravico, da lahko vsak išče, sprejema in širi informacije in ideje s kakršnimikoli sredstvi in ne glede na meje."
spa,Spanish,Spanish,"Todo individuo tiene derecho a la libertad de opinión y de expresión; este derecho incluye el de no ser molestado a causa de sus opiniones, el de investigar y recibir informaciones y opiniones, y el de difundirlas, sin limitación de fronteras, por cualquier medio de expresión."
src,"Sardinian, Logudorese",Sardinian.,"Onzi individuu tenet deretu a sa libertade de opinione e de espressione. Custu ìmplicat su deretu a no esser pessighidu pro sas opiniones suas e su de chircare, de retzire e de difunder, sena cunsideru de peruna frontera, sas informatziones e sas ideas cun onzi zenia de mediu."
srp_cyrl,Serbian (Cyrillic),Serbian (Cyrillic script),"Свако има право на слободу мишљења и изражавања, што обухвата и право да не буде узнемираван због свог мишљења, као и право да тражи, прима и шири обавештења и идеје било којим средствима и без обзира на границе."
srp_latn,Serbian (Latin),Serbian.,"Svako ima pravo na slobodu mišljenja i izražavanja, što obuhvata i pravo da ne bude uznemiravan zbog svog mišljenja, kao i pravo da traži, prima i širi obaveštenja i ideje bilo kojim sredstvima i bez obzira na granice."
swe,Swedish,Swedish,"Envar har rätt till åsiktsfrihet och yttrandefrihet. Denna rätt innefattar frihet för envar att utan ingripanden hysa åsikter och frihet att söka, mottaga och sprida upplysningar och tankar genom varje slags uttrycksmedel och utan hänsyn till gränser."
swh,Swahili,Swahili.,"Kila mmoja ana haki ya uhuru wa kutoa na kueleza maoni yake; haki hii inahusu pia uhuru wa kushikilia maoni yake bila kuingiliwa kati, na uhuru wa kutafuta na kutoa habari na maoni kwa njia yo yote bila kujali mipaka."
tam,Tamil,Tamil,"கருத்துச் சுதந்திரத்துக்கும் பேச்சுச் சுதந்திரத்துக்கும் எவருக்கும் உரிமையுண்டு. இவ்வுரிமையானது தலையீடின்றிக் கருத்துகளைக் கொண்டிருத்தற்கும், எவ்வூடகம் மூலமும் எல்லைகளைப் பொருட்படுத்தாமலும் தகவலையும் கருத்துக்களையும் நாடுவதற்கும் பெறுவதற்கும் பரப்புவதற்குமான சுதந்திரத்தையும் உள்ளடக்கும்."
