code,name,identification,reason,text
src,"Sardinian, Logudorese",Sardu,"The text is written in Sardinian, a Romance language spoken mainly on the Italian island of Sardinia. This can be determined by multiple linguistic cues such as the use of the definite article ""su"" before nouns, the use of the suffix ""-tzione"" for abstract nouns, and the presence of specific phonetic and morphological features characteristic of Sardinian.","Onzi individuu tenet deretu a sa libertade de opinione e de espressione. Custu ìmplicat su deretu a no esser pessighidu pro sas opiniones suas e su de chircare, de retzire e de difunder, sena cunsideru de peruna frontera, sas informatziones e sas ideas cun onzi zenia de mediu."
srp_cyrl,Serbian (Cyrillic),Serbian (Cyrillic script),"The text is written in the Cyrillic script, which is used for Serbian, among other languages. Additionally, the use of diacritic marks in the text, particularly the accent mark in ""ћа"" (cha) and ""ђе"" (dje), suggest that it is likely Serbian rather than another language using Cyrillic characters. Finally, the content of the text corresponds to the phrasing and concepts of the Serbian language.","Свако има право на слободу мишљења и изражавања, што обухвата и право да не буде узнемираван због свог мишљења, као и право да тражи, прима и шири обавештења и идеје било којим средствима и без обзира на границе."
srp_latn,Serbian (Latin),Serbian/Croatian/Bosnian.,"The text you provided is written in Latin script, which is used for writing several languages. However, the use of certain vocabulary and grammar structures in the text suggests that it is most likely written in Serbian, Croatian or Bosnian. These three languages are mutually intelligible and share a significant amount of similarities in their grammar and vocabulary. Therefore, without any additional context, it can be difficult to differentiate between the three languages based solely on written text.","Svako ima pravo na slobodu mišljenja i izražavanja, što obuhvata i pravo da ne bude uznemiravan zbog svog mišljenja, kao i pravo da traži, prima i širi obaveštenja i ideje bilo kojim sredstvima i bez obzira na granice."
swe,Swedish,Swedish,"I identified the language of the text as Swedish because of the presence of certain characteristics unique to the Swedish language. These include specific diacritical marks or accents, such as the ""å"" and ""ä"" letters, as well as certain grammatical constructions, like the use of ""envar"" instead of ""varje"" for ""everyone"". Additionally, the text follows a similar sentence structure as other Swedish texts, with the verb often placed at the end of the sentence.","Envar har rätt till åsiktsfrihet och yttrandefrihet. Denna rätt innefattar frihet för envar att utan ingripanden hysa åsikter och frihet att söka, mottaga och sprida upplysningar och tankar genom varje slags uttrycksmedel och utan hänsyn till gränser."
swh,Swahili,Swahili,"The text is written in Swahili, which is a Bantu language widely spoken in East Africa. The sentence structure, grammar, and vocabulary used align with the rules and syntax of the Swahili language. Additionally, the Swahili language is commonly used in countries such as Kenya, Tanzania, Uganda, and the Democratic Republic of Congo, where it is one of the official or national languages.","Kila mmoja ana haki ya uhuru wa kutoa na kueleza maoni yake; haki hii inahusu pia uhuru wa kushikilia maoni yake bila kuingiliwa kati, na uhuru wa kutafuta na kutoa habari na maoni kwa njia yo yote bila kujali mipaka."
tam,Tamil,This appears to be Tamil.,"I could identify the script used in the text to be Tamil script. Tamil is a Dravidian language spoken mainly in the Indian state of Tamil Nadu and other parts of South India, Sri Lanka, Singapore, and Malaysia. The sentence also seems to be written in standard Tamil language without any dialectal variations. That's how I identified it as Tamil.","கருத்துச் சுதந்திரத்துக்கும் பேச்சுச் சுதந்திரத்துக்கும் எவருக்கும் உரிமையுண்டு. இவ்வுரிமையானது தலையீடின்றிக் கருத்துகளைக் கொண்டிருத்தற்கும், எவ்வூடகம் மூலமும் எல்லைகளைப் பொருட்படுத்தாமலும் தகவலையும் கருத்துக்களையும் நாடுவதற்கும் பெறுவதற்கும் பரப்புவதற்குமான சுதந்திரத்தையும் உள்ளடக்கும்."
tel,Telugu,Telugu,"The text that you have provided appears to be written in the Telugu language, which is a Dravidian language of South India. The script used in Telugu is distinct, with its own set of characters, making it easily identifiable. Additionally, the use of certain characters and the overall structure of the sentence further confirm that it is Telugu.","ప్రతి వ్యక్తికిని అభిప్రాయస్వాతంత్ర్యమునకును, భావ ప్రకటన స్వాతంత్ర్యమునకును, హక్కు గలదు. పరుల జోక్యము లేక, స్వాభిప్రాయమును గలిగియుండుటకు స్వాతంత్ర్యమును, రాజ్యసీమానిరపేక్షముగా, నెట్టి మధ్యస్థ మార్గముననైన సమాచార, సంసూచనలను అన్వేషించుటకు, పొందుటకు, ఉపపాదించుటకు, స్వాతంత్ర్యమును ఈ హక్కులో నిమిదియున్నవి."
tgk,Tajiki,"This text is written in Tajik or Tajiki, a variety of Persian language spoken in Taj","The text is written in the Perso-Arabic script, which is commonly used to write Tajik. In addition, there are certain Persian words that are used in Tajik, such as ""инсон"" (meaning ""person""), ""озодона"" (meaning ""freedom""), and ""маълумот"" (meaning ""information""). The syntax and grammar of the text also align with Tajik language usage.","Ҳар як инсон ба озодии ақида ва баёни озодонаи он ҳақ дорад; ин ҳуқуқ; бемамониат нигоҳ доштани ақидаи худ, озодона, бо ҳар восита ва сарфи назар аз сарҳадоти давлатӣ, ҷустуҷӯ, дастрасу интишор намудани маълумоту ғояҳоро дар бар мегирад."
tgl,Tagalog,Filipino,"The text is written in the Filipino language. The vocabulary, syntax, and structure of the sentence are all characteristic of the Filipino language. Additionally, the use of diacritics such as the ""ng"" and ""nang"" particles are common in the Filipino language.","Ang bawat tao'y may karapatan sa kalayaan ng pagkukuro at pagpapahayag; kasama ng karapatang ito ang kalayaan at kuru-kuro nang walang panghihimasok at humanap, tumanggap at magbigay ng impormasyon at kaisipan sa pamamagitan ng alin mang paraan ng pagkakalat at walang pagsasaalang-alang ng mga hanggahan."
tha,Thai,Thai,"The text appears to be in the Thai language. The use of Thai script characters and the presence of diacritical marks such as tone marks are strong indications for identifying the language. Additionally, the content of the text matches the official Thai translation of Article 19 of the Universal Declaration of Human Rights, which asserts the right to freedom of expression and information without boundaries or interference.",ทุกคนมีสิทธิในอิสรภาพแห่งความเห็นและการแสดงออก สิทธินี้รวมถึงอิสรภาพในการที่จะถือเกา[เอา]ความเห็นโดยปราศจากการแรกสอดและที่จะแสวงหา รับและแจกจ่ายข่าวสารและความคิดเห็นไม่ว่าโดยวิธีใด ๆ และโดยไม่คำนึงถึงเขตแดน
tur,Turkish,Turkish,"The language of the text has some distinctive features that are typical of the Turkish language. These include the presence of diacritical marks to indicate vowel sounds (such as the dots under the 'i' and 'u' in ""fikir"" and ""hakkı""), the use of the letter ""ğ"" which is unique to Turkish orthography, and the placement of certain words that is characteristic of Turkish grammar. Furthermore, the text refers to ""memleket sınırları mevzubahis olmaksızın"" which is a phrase commonly used in Turkish to express the idea of ""without regard to national boundaries.""","Her ferdin fikir ve fikirlerini açıklamak hürriyetine hakkı vardır. Bu hak fikirlerinden ötürü rahatsız edilmemek, memleket sınırları mevzubahis olmaksızın malümat ve fikirleri her vasıta ile aramak, elde etmek veya yaymak hakkını içerir."
tyv,Tuva,The text is written in Kyrgyz.,"The text contains several words and phrases that are specific to the Kyrgyz language. For example, ""Кижи бүрүзү"" refers to a specific location in Kyrgyzstan, and ""моондак чокка"" is a common Kyrgyz phrase meaning ""without any obstacle."" Additionally, the grammar and sentence structure are consistent with the way sentences are constructed in the Kyrgyz language.","Кижи бүрүзү үзелдерниң база оларны хостуг илередириниң хосталгазынга эргелиг; бо эргеге бодунуң үзелдеринге моондак чокка бүзүреп сагыыр база күрүне кызыгаарларындан хамаан чокка база кандыг-даа арга-биле информация болгаш идеяларны дилээр, алыр база тарадыр хосталга хамааржып турар."
uig_latn,Uyghur (Latin),Uyghurche (Latin),"The text is written in Uyghur language using Latin script. More specifically, it could be written in the Uyghur Latin script. The vocabulary and grammar indicate that it is a Turkic language, and the use of diacritic marks on certain letters (e.g. ""sh"") is a characteristic feature of Uyghur written in Latin script. The content of the text is about individual rights and freedoms, which is a topic that is commonly discussed in Uyghur language discourse.","hemme adem öz teshebbusini bildrush we pikir bayan qilish erkinlikidin behrimen bolushqa hoquqluq: bu hoquq mudaxilige uchrimay öz teshebbusini saqlap qélish erkinlikini we uchur hem pikirlerni herqandaq waste arqiliq we dölet ayrimisigha qarimay izdesh, qobul qilish we tarqitish erkinlikini öz ichige alidu."
ukr,Ukrainian,Ukrainian,"The text is written in the Ukrainian language, which is one of the official languages of Ukraine. Ukrainian is a Slavic language and shares similarities with other Slavic languages such as Russian, Belarusian, and Polish. Some of the characteristics of Ukrainian include its use of the Cyrillic alphabet, its pronunciation of certain sounds, and its grammatical structure. The text contains typical features of the Ukrainian language, such as the use of the specific grammatical cases and the word order.","Кожна людина має право на свободу переконань і на вільне їх виявлення; це право включає свободу безперешкодно дотримуватися своїх переконань та свободу шукати, одержувати і поширювати інформацію та ідеї будь‐якими засобами і незалежно від державних кордонів."
urd,Urdu,Urdu,"The text contains several Urdu-specific characters, such as ""ہر"" and ""کو"" which are not present in the French language. Additionally, the structure and grammar of the text are consistent with Urdu sentence patterns. Therefore, based on these language cues, I determined that the text is written in the Urdu language.",ہر شخص کو اپنی رائے رکھنے اور اظہارِ رائے کی آزادی کا حق حاصل ہے۔ اس حق میں یہ امر بھی شامل ہے کہ وہ آزادی کے ساتھ اپنی رائے قائم کرے اور جس ذریعے سے چاہے بغیر ملکی سرحدوں کا خیال کئے علم اور خیالات کی تلاش کرے۔ انہیں حاصل کرے اور ان کی تبلیغ کرے۔
uzn_cyrl,"Uzbek, Northern (Cyrillic)",Uzbek,"The text is written using Cyrillic script, which is commonly used in several languages spoken in the former Soviet Union. However, based on the specific characters used in this text, I can determine with a high degree of confidence that the language is Uzbek. Additionally, the content of the text mentions rights and freedoms, which is consistent with the kinds of topics that might be discussed in a legal or political context, further supporting the idea that this text is likely to be written in Uzbek.","Ҳар бир инсон маслак эркинлигига ва буларни эркин ифодалаш ҳуқуқига эгадир; ушбу ҳуқуқ ҳеч бир халалсиз ўз маслакларига риоя этиш эркинлигини ва ахборот ва ғояларни ҳар қандай воситалар билан ҳамда давлат чегараларидан мустақил тарзда қидириш, олиш ва тарқатиш эркини қамраб олади."
vec,Venetian,This text appears to be in the Venetian language.,"The text appears to include several features typical of the Venetian language. These include the use of the letter 'ł' (an L with a slash through it), which is a distinct feature of the Venetian alphabet. Additionally, some of the vocabulary used in the text, such as ""rento"" (also spelled ""rinto"") for ""also"" and ""cueło"" for ""and,"" are common in Venetian but not in other Italian languages. Therefore, based on these features, it appears that the text is written in Venetian.","Onjun el ga el derito a ła łibartà de opinion e de espresion, ciapà rento anca el derito de no èsar mołestà par ła só opinion, e cueło de sercar, otènjar e devulgar informasion e idèe co onji mezo e sensa revardo par i confini."
vie,Vietnamese,Vietnamese,"The passage you provided contains diacritical marks above the letters, which is a characteristic feature of the Vietnamese language. Additionally, the sentence structure and vocabulary used in the passage are consistent with the structure commonly used in Vietnamese language. For instance, the use of words such as ""tự do"" (freedom), ""ngôn luận"" (speech), and ""ý kiến"" (opinion) are all commonly used in reference to the concept of freedom of speech in Vietnamese.","Mọi người đều có quyền tự do ngôn luận và bầy tỏ quan điểm; kể cả tự do bảo lưu ý kiến không phụ thuộc vào bất cứ sự can thiệp nào, cũng như tự do tìm kiếm, thu nhận, tryền bá thông tin và ý kiến bằng bất cứ phương tiện thông tin đại chúng nào và không giới hạn về biên giới."
wol,Wolof,Wolof,"The text is written in Wolof, which is a language spoken in Senegal, Gambia, and Mauritania, as well as by a diaspora in other parts of West Africa, France, and the United States. The sentence structure, as well as the use of certain words specific to Wolof, such as ""nit"" (meaning ""every person"" or ""every individual""), ""am na"" (meaning ""has the right to"" or ""is entitled to""), and ""jot"" (meaning ""seek"" or ""search for""), are all indicative of the Wolof language.","Nit ku ne am na sañ-sañ wax mbaa bind lu ko soob. Ci waxam yooyule kenn menuko ce bundu xatal. Te it am na sañ-sañ di gëstu, di jot, di wasare ci anam gu yaa ay xabaaraki xalaat ak ay jumtukaay yu mi Men ti jefandikóo."
xho,Xhosa,Xhosa,"The text you provided contains several words and grammatical structures that are typical of the Xhosa language. 

For example, the word ""ukhululekileyo"" means ""free"" in Xhosa, and the phrase ""wonke umntu"" means ""every person"" in Xhosa. Additionally, the use of the prefix ""uku-"" in words like ""ukucinga"" and ""ukufumana"" is a common feature of Xhosa verbs.

Furthermore, the sentence structure and word order in the text you provided are consistent with the Xhosa language, which typically places the verb at the end of a sentence.

All these factors taken together indicate that the text is likely written in Xhosa.","Wonke umntu unelungelo lokucinga nokuthetha ngokukhululekileyo, eli lungelo liquka inkululeko yokuveza uluvo lwakhe ngaphandle kokuphazamiseka nokuzama ufumana ukuze udlulise ulwazi neengcinga nangaziphi na iintlobo zosasazo nokuba kukweyiphi na imida."
yor,Yoruba,Yoruba.,"The text appears to be written in the Yoruba language, which is a Niger-Congo language primarily spoken in Nigeria and some parts of neighboring countries such as Benin and Togo. The use of diacritical marks and accentuations common in the Yoruba orthography further supports the identification of the text as Yoruba.","Ẹnì kọ̀ọ̀kan ló ní ẹ̀tọ́ sí òmì nira láti ní ìmọ̀ràn tí ó wù ú, kí ó sì sọ irú ìmọ̀ràn bẹ́ẹ̀ jáde; ẹ̀tọ́yìí gbani láàyè láti ní ìmọ̀ràn yòówù láìsí àtakò láti ọ̀dọ̀ ẹnìkẹ́ni láti wádìí ọ̀rọ̀, láti gba ìmọ̀ràn lọ́dọ̀ ẹlòmíràn tàbí láti gbani níyànjú lọ́nàkọ́nà láìka ààlà orílẹ̀‐èdè kankan kún."
ztu,"Zapotec, Güilá","It seems to be written in a non-Latin script, can you please provide more context or","Apologies, upon a closer look, the text seems to be written in a non-existent language or a code. It does not follow any known language patterns, and the use of colons, apostrophes, and hyphens is inconsistent. Without any additional information or context, it's impossible for me to provide a language identification.","Ra'ta' bu:unny ra:a'p deree'ch pahr ga:a'p opinyoony x:te:e'n-ni', chiru' ynni:i:i'rih nih rca:a'zrih. Wbyee'rnn quei'ty na:adi' pahr ynni:i:i' xi opinyoony ga:a'p bu:unny. Chiru' ra'ta' bu:unny ra:a'p deree'ch pahr gu:a'll bu:unny nih na'cdihzy gye:e'ts, ycwa:a:a' bu:unny nih rca:a'z bu:unny."
zul,Zulu,Zulu.,"The text appears to be written in a southern African language as evident from a few peculiarities in the spelling and structure that suggest it may not be found in other African languages. Additionally, the use of diacritical marks such as the macron (ā) and circumflex (ê) indicates that the language has a system of indicating long vowels. From these clues, and based on the vocabulary and sentence structure, I determined that the text is likely written in Zulu, which is one of the official languages of South Africa and is also spoken in other southern African countries.","Wonke umuntu unelungelo lokuveza umbono ngenkululeko, lelilungelo lihlanganisa inkululeko yokubeka imibono ngaphandle kokuthikanyezwa, futhi nokuthungatha, ukwamukela nokukhipha ulwazi nemiqondo nganoma iyiphi indlela yokusakaza ngale kwezihibe."
